Title,Genres,Release Date,Release Year,Release Month,Release Country,Movie Rating,Review Rating,Movie Run Time,Language
In the Dark (2015), Horror| Thriller,6-Oct-15,2015,Oct,USA,TV-MA,4.1,85 min,English
Dabbe: Bir Cin Vakasi (2012), Horror,3-Aug-12,2012,Aug,Turkey,,6.3,119 min,Turkish
The Haunter of the Dark (2015), Horror| Thriller,28-Jan-15,2015,Jan,Russia,,6.9,83 min,Russian
Hectic Knife (2016), Action| Comedy| Horror,28-Jul-16,2016,Jul,USA,,6.6,,English|Spanish
Toxin: 700 Days Left on Earth (2015), Action| Drama| Horror,19-Apr-15,2015,Apr,USA,,8.4,,English
La Niña de la Mina (2016), Horror,1-Jul-16,2016,Jul,Mexico,,3.8,82 min,
Beneath the Old Dark House (2015), Horror,13-Mar-15,2015,Mar,USA,,6.5,,English
Stag Hunt (2015), Adventure| Comedy| Drama| Fantasy| Horror| Thriller,16-May-15,2015,May,USA,,3.6,94 min,English
Fetish Dolls Die Laughing (2012), Comedy| Fantasy| Horror,24-Apr-12,2012,Apr,USA,NOT RATED,2.0,100 min,English
Shame the Devil (2013), Crime| Horror| Thriller,9-Sep-14,2014,Sep,USA,NOT RATED,3.5,94 min,English
Holla II (2013), Comedy| Horror,19-Apr-13,2013,Apr,USA,R,6.9,90 min,English
Made Me Do It (2017), Drama| Fantasy| Horror| Thriller,29-Sep-17,2017,Sep,USA,,8.3,90 min,English
The Tale of the Voodoo Prostitute (2012), Horror,5-Jun-12,2012,Jun,USA,NOT RATED,4.1,75 min,English
Necrophile Passion (2013), Horror,18-Aug-13,2013,Aug,Germany,,3.1,52 min,German
Killer Campout (2017), Horror,21-Jul-17,2017,Jul,USA,,5.8,86 min,English
Honeyspider (2014), Horror| Thriller,18-Oct-14,2014,Oct,USA,NOT RATED,3.5,76 min,English
Pinwheel (2017), Horror,10-Jan-17,2017,Jan,USA,,4.7,88 min,English
Dead Walkers: Rise of the 4th Reich (2013), Horror,31-Jul-13,2013,Jul,USA,TV-MA,1.4,75 min,English|English
Demon Tongue (2016), Horror,21-Jun-16,2016,Jun,USA,,2.3,85 min,English
Depth (2016), Horror| Sci-Fi,2016,2016,Jan,USA,,7.2,,English
Parasitic (2012), Horror| Sci-Fi,26-Jun-12,2012,Jun,USA,R,2.2,79 min,English
True Love Ways (2015), Horror| Thriller,1-Oct-15,2015,Oct,Germany,,5.7,95 min,German
Hole (2010), Crime| Horror| Thriller,24-Nov-15,2015,Nov,USA,,4.9,94 min,English
Loverboy (2012), Horror| Thriller,17-Mar-12,2012,Mar,USA,NOT RATED,5.1,93 min,English
The Litch (2017), Horror,2017,2017,Jan,USA,,,,English
House with 100 Eyes (2013), Horror,2013,2013,Jan,USA,NOT RATED,4.6,75 min,English
3 A.M. 3D: Part 2 (2014), Horror,16-Jan-14,2014,Jan,Thailand,,5.1,105 min,Thai
Da Possessed (2014), Comedy| Horror,19-Apr-14,2014,Apr,Philippines,,5.9,120 min,Filipino|Tagalog
Sacrament (2014), Drama| Horror| Thriller,7-Jul-14,2014,Jul,USA,,3.5,105 min,English
Angels Fallen (2017), Horror,2017,2017,Jan,USA,,,,English
Bilocation (2013), Drama| Horror| Mystery,18-Jan-14,2014,Jan,Japan,,6.3,,Japanese
Visitantes (2014), Horror,18-Dec-14,2014,Dec,Mexico,,4.9,100 min,Spanish
Dracula 2012 (2013), Horror,8-Feb-13,2013,Feb,India,,2.5,137 min,Tamil|Malayalam|Hindi|English
The House Across the Street (2013), Horror| Thriller,10-Apr-15,2015,Apr,USA,NOT RATED,3.5,93 min,English
Grimmerson Manor (2017), Horror| Thriller,31-Oct-17,2017,Oct,USA,,,,English
Murder in Miami (2014), Horror| Mystery| Thriller,18-Feb-14,2014,Feb,USA,NOT RATED,5.4,87 min,English
Mumbai 125 KM 3D (2014), Adventure| Horror| Mystery| Thriller,17-Oct-14,2014,Oct,India,,2.9,100 min,Hindi
The Nanabijou Tapes (2014), Horror| Mystery| Thriller,15-Aug-14,2014,Aug,USA,,7.9,80 min,English
Bad Building (2015), Horror,6-Aug-15,2015,Aug,USA,NOT RATED,3.0,75 min,English
The Flaying (2012), Fantasy| Horror| Thriller,17-Jul-12,2012,Jul,Argentina,,4.9,80 min,Spanish
Bunni (2013), Horror,14-Sep-13,2013,Sep,USA,,4.2,60 min,English
Seventy-Nine (2013), Action| Horror| Mystery| Sci-Fi| Thriller,8-Jun-17,2017,Jun,USA,,3.8,82 min,English
Hush Up Sweet Charlotte (2015), Comedy| Horror,16-Oct-15,2015,Oct,USA,TV-14,6.6,95 min,English
Paranoia Tapes (2017), Horror,11-Jul-17,2017,Jul,USA,,4.7,92 min,English
Valentine DayZ (2017), Horror,2017,2017,Jan,USA,,,,English
Voodoo Possession (2014), Drama| Horror| Mystery,14-Jan-14,2014,Jan,USA,UNRATED,2.4,94 min,English
Diane (2017), Crime| Drama| Horror| Mystery| Thriller,28-Oct-17,2017,Oct,USA,,5.6,82 min,English
Entrance (2012), Drama| Horror| Thriller,18-May-12,2012,May,USA,NOT RATED,4.8,83 min,English
7th and Westlake: Nino's Revenge (2017), Horror,31-Oct-17,2017,Oct,USA,,,,English
1920: Evil Returns (2012), Drama| Horror| Romance,2-Nov-12,2012,Nov,India,,4.9,124 min,Hindi
308 (2013), Horror| Mystery| Thriller,5-Jun-13,2013,Jun,Indonesia,,6.8,,Indonesian
Stab 7: Knife of the Hunter (2013), Comedy| Horror| Thriller,31-Oct-13,2013,Oct,USA,,7.4,,English
Deep Sleep (2013), Horror| Thriller,27-Oct-13,2013,Oct,USA,NOT RATED,4.8,67 min,Italian
The Eyes Diary (2014), Horror| Romance,30-Oct-14,2014,Oct,Thailand,,5.4,,Thai
The Sea Serpent (1985), Adventure| Horror,29-Jun-15,2015,Jun,USA,,3.5,92 min,English
My Boo (2013), Horror,1-Apr-13,2013,Apr,USA,,4.3,78 min,English
Don't Look (2017), Horror,2017,2017,Jan,USA,,,71 min,English
Bhoot Returns (2012), Horror| Mystery| Thriller,12-Oct-12,2012,Oct,India,,2.5,85 min,Hindi|Telugu|Tamil
Calling Bell (2015), Horror,21-Mar-15,2015,Mar,India,,,,Telugu
A Vampire's Tale (2009), Horror| Western,17-Oct-12,2012,Oct,UK,R,3.1,,English
Clash of the Dead (2015), Horror,5-Jul-16,2016,Jul,USA,,3.3,80 min,English
Den of Darkness (2016), Horror| Thriller,20-Feb-16,2016,Feb,USA,NOT RATED,3.4,91 min,English
The Moleman of Belmont Avenue (2013), Comedy| Horror,10-Sep-13,2013,Sep,USA,NOT RATED,5.3,,English
Blind Sun (2015), Horror| Mystery,20-Apr-16,2016,Apr,France,,5.6,88 min,French|Greek|English
HazMat (2013), Horror| Thriller,11-Mar-14,2014,Mar,USA,NOT RATED,3.8,80 min,English
Elliot (2017), Fantasy| Horror| Sci-Fi,2017,2017,Jan,USA,,,,English
Dogged (2017), Horror,2017,2017,Jan,UK,,,116 min,English
Siyaah.. (2013), Horror| Thriller,15-Mar-13,2013,Mar,Pakistan,,6.7,,Urdu
The Lurking (2015), Horror,10-Dec-15,2015,Dec,USA,NOT RATED,6.0,61 min,English
La Petite Mort II (2014), Horror| Thriller,14-Sep-14,2014,Sep,Germany,,3.6,90 min,German
Hotel de Sade (2013), Drama| Horror| Thriller,4-Dec-13,2013,Dec,Taiwan,,4.3,100 min,Chinese|Mandarin
Brutal (2014), Action| Drama| Horror| Sci-Fi| Sport,5-Jan-14,2014,Jan,USA,TV-MA,2.9,90 min,English
Hitler Lives! (2017), Horror,1-Jun-17,2017,Jun,USA,,,,English
Not Another Zombie Movie....About the Living Dead (2014), Action| Comedy| Horror,31-Oct-14,2014,Oct,USA,,5.4,79 min,English
Grindsploitation 2: The Lost Reels (2016), Horror,31-Oct-16,2016,Oct,USA,,7.3,,English
Billy's Got a Bad Brain (2017), Comedy| Horror| Sci-Fi,15-Oct-17,2017,Oct,USA,NOT RATED,,76 min,
Attila (2013), Action| Horror| Thriller,31-Dec-13,2013,Dec,USA,NOT RATED,1.9,85 min,English
Vilsen (2016), Action| Crime| Drama| Horror| Thriller,17-Oct-16,2016,Oct,Sweden,,6.4,,Swedish
Ghost (2012), Horror,13-Jan-12,2012,Jan,India,,2.3,118 min,Hindi
Skookum: The Hunt for Bigfoot (2016), Horror,1-Dec-16,2016,Dec,USA,,5.3,100 min,English
Beautiful Prison (2016), Drama| Horror| Romance| Thriller,12-Jul-16,2016,Jul,USA,TV-MA,4.4,83 min,English
Willa (2012), Drama| Horror| Romance,28-Jun-13,2013,Jun,USA,,6.4,82 min,English
Exit to Hell (2013), Action| Horror| Thriller,5-Nov-13,2013,Nov,USA,R,3.4,81 min,English
Kimmy Dora and the Temple of Kiyeme (2012), Comedy| Horror,13-Jun-12,2012,Jun,Philippines,,6.4,105 min,Filipino|Tagalog|Korean
Home Video (2015), Horror,15-Oct-15,2015,Oct,USA,,2.3,80 min,English
RIP (2017), Comedy| Horror,12-Oct-17,2017,Oct,Spain,,8.7,16 min,Spanish
Lady Belladonna's Night Shades (2016), Comedy| Horror,1-Sep-16,2016,Sep,USA,,5.6,88 min,English
E19 Virus (2017), Horror,16-Jun-17,2017,Jun,UK,,2.4,,English
The Curse of Doctor Wolffenstein (2015), Horror,28-Feb-15,2015,Feb,Germany,UNRATED,5.1,,German
I Spill Your Guts (2012), Horror| Thriller,1-Apr-12,2012,Apr,USA,NOT RATED,2.5,90 min,English
"Gangsters, Guns & Zombies (2012)", Comedy| Horror,11-Dec-12,2012,Dec,USA,TV-MA,3.9,88 min,English
The Slashening (2015), Comedy| Horror,2015,2015,Jan,USA,NOT RATED,4.2,82 min,English
Dark Roads 79 (2017), Horror,14-Jan-17,2017,Jan,USA,,6.7,,English
Everyone Must Die! (2012), Horror,23-Sep-12,2012,Sep,USA,,4.6,71 min,English
The Haunting of Ellie Rose (2015), Horror,5-Oct-15,2015,Oct,UK,,2.7,80 min,English
Ice Cream (2014), Horror| Thriller,12-Jul-14,2014,Jul,India,,4.6,144 min,Telugu
Bayou Ghost Story (2017), Drama| Horror| Mystery| Thriller,18-Apr-17,2017,Apr,USA,,4.2,73 min,English
Hazard Jack (2014), Horror,13-May-14,2014,May,USA,NOT RATED,2.7,82 min,English
The Cutting Room (2015), Horror,1-Jun-15,2015,Jun,UK,,3.9,75 min,English
Good Tidings (2016), Horror| Thriller,6-Dec-16,2016,Dec,USA,,3.9,99 min,English
A House Is Not a Home (2015), Horror| Thriller,7-Sep-15,2015,Sep,USA,,4.1,87 min,English
Cementerio General 2 (2016), Horror,8-Oct-16,2016,Oct,Peru,,3.1,87 min,Spanish
Reminiscence: The Beginning (2014), Horror| Romance| Thriller,1-Jun-14,2014,Jun,Turkey,NOT RATED,6.4,100 min,English
Lost Lake (2012), Horror| Thriller,13-Nov-13,2013,Nov,Germany,R,3.4,85 min,English
The Blood Harvest (2016), Horror,25-Jan-16,2016,Jan,UK,,3.7,,English
Jake's Road (2017), Action| Horror| Thriller,23-Sep-17,2017,Sep,USA,NOT RATED,4.0,85 min,English
Apostle of Dracula (2012), Horror| Mystery,8-Aug-17,2017,Aug,USA,,5.5,90 min,Spanish|French
Bodies (2016), Horror,5-May-16,2016,May,USA,,4.5,98 min,English
9 Days (2013), Comedy| Horror| Romance,28-May-13,2013,May,USA,NOT RATED,3.7,83 min,English
Diggeri (2016), Horror,11-Aug-16,2016,Aug,Russia,,4.0,80 min,Russian|Russian
Wild Men (2017), Adventure| Comedy| Horror,7-Feb-17,2017,Feb,USA,TV-MA,6.9,90 min,English
The Man in the Orange Jacket (2014), Horror| Mystery| Thriller,27-Feb-15,2015,Feb,Latvia,TV-MA,5.1,71 min,Latvian
The Legend of Wasco (2015), Horror,15-Dec-15,2015,Dec,USA,NOT RATED,2.8,81 min,English
Red Rain (2013), Horror| Sci-Fi,6-Dec-13,2013,Dec,India,,6.8,101 min,Malayalam
Scream Park (2012), Horror,25-Apr-16,2016,Apr,UK,NOT RATED,4.2,85 min,English
Dead Heart (2015), Drama| Horror| Thriller,1-Nov-14,2014,Nov,Argentina,R,6.3,84 min,Spanish
Secret Santa (2015), Horror,28-Nov-15,2015,Nov,Canada,,6.1,,English
"Silent Night, Bloody Night: The Homecoming (2013)", Horror,10-Jun-13,2013,Jun,UK,NOT RATED,4.5,85 min,English
Masss (2015), Action| Comedy| Horror,29-May-15,2015,May,India,UNRATED,6.2,151 min,Tamil|Telugu
Scream for Summer (2017), Horror,19-Oct-17,2017,Oct,USA,,,,English
The Visitor (2016), Drama| Horror| Thriller,21-Apr-17,2017,Apr,Romania,,7.2,119 min,Romanian|Romanian
Knight of the Dead (2013), Action| Fantasy| Horror,30-Oct-14,2014,Oct,Kuwait,,2.8,82 min,English
Shopping Tour (2012), Comedy| Horror| Thriller,28-Nov-13,2013,Nov,Russia,,4.6,70 min,
Corpse Party (2015), Horror,1-Aug-15,2015,Aug,Japan,,5.0,93 min,Japanese
Ceberrut (2016), Horror,4-Mar-16,2016,Mar,Turkey,,3.3,,Turkish
Preston Castle (2014), Horror,7-Oct-14,2014,Oct,USA,,3.7,83 min,English
Happy Camp (2014), Horror| Thriller,25-Mar-14,2014,Mar,USA,NOT RATED,3.6,75 min,English
Atlanta Vampire Movie (2017), Comedy| Horror,31-Oct-17,2017,Oct,USA,,,110 min,English
Animal Among Us (2017), Horror| Thriller,2017,2017,Jan,USA,,,90 min,English
Stripped (2013), Comedy| Horror| Thriller,14-May-13,2013,May,USA,R,4.9,80 min,English
Tales from the Dark 1 (2013), Horror,11-Jul-13,2013,Jul,Hong Kong,,5.6,114 min,Mandarin|Cantonese
Deadman Inferno (2015), Action| Horror,16-May-15,2015,May,Japan,,5.6,108 min,Japanese
The Emerging Past Director's Cut (2017), Horror| Mystery| Thriller,28-Mar-17,2017,Mar,USA,,4.4,90 min,English
Deacon (2017), Drama| Horror| Mystery| Thriller,13-Oct-17,2017,Oct,USA,,,,
Swamp Freak (2017), Horror,26-Apr-17,2017,Apr,USA,NOT RATED,2.9,75 min,English
The Spiritualist (2016), Drama| Horror| Mystery| Thriller,31-Oct-16,2016,Oct,USA,,4.4,101 min,English
Bad Exorcists (2015), Comedy| Horror,28-Feb-15,2015,Feb,USA,,6.4,85 min,English
Blackwater (2007), Action| Adventure| Horror,14-Jul-12,2012,Jul,USA,PG-13,4.6,,English
The Evil Inside (2011), Horror,1-Aug-13,2013,Aug,USA,TV-MA,3.7,83 min,English
Lazarus: Apocalypse (2014), Crime| Horror| Mystery| Thriller,1-Sep-15,2015,Sep,USA,,5.5,90 min,English
Varsity Blood (2014), Horror,19-Aug-14,2014,Aug,USA,NOT RATED,3.9,87 min,English
Exile (2014), Horror| Sci-Fi,12-Apr-14,2014,Apr,USA,,4.1,84 min,English
The Devil's Woods (2015), Horror,24-Oct-15,2015,Oct,Ireland,,3.2,73 min,English
Muerte: Tales of Horror (2017), Fantasy| Horror| Sci-Fi,2017,2017,Jan,USA,,,,English|Spanish
The Obsidian Curse (2016), Horror,1-Dec-16,2016,Dec,USA,,,,English
Vamp Bikers Dos (2015), Horror,19-Sep-15,2015,Sep,USA,,7.2,80 min,English
Cryptids (2017), Horror,1-Oct-17,2017,Oct,USA,,,,English
Devils of War (2013), Action| Horror,15-Apr-13,2013,Apr,UK,NOT RATED,2.0,74 min,English
Shane Ryan's Faces of Snuff (2016), Crime| Horror| Mystery| Thriller,22-Nov-16,2016,Nov,USA,,6.8,136 min,English|German|Swedish|Danish
The Fiancé (2016), Horror,11-Nov-16,2016,Nov,USA,UNRATED,3.6,79 min,English
Cuentos De Camino (2017), Horror,12-Jul-17,2017,Jul,USA,,,67 min,Spanish
Dark Feed (2013), Horror,18-Mar-13,2013,Mar,USA,R,3.3,,English
Blood Redd (2015), Horror,3-Dec-15,2015,Dec,Germany,,2.8,,English
The Mildew from Planet Xonader (2015), Action| Horror| Sci-Fi,15-Dec-15,2015,Dec,USA,,6.1,85 min,English
Hooked Up (2017), Horror,2017,2017,Jan,USA,,,,English
Acid Girls (2014), Horror| Thriller,2014,2014,Jan,USA,,5.9,90 min,English
Miss Christina (2013), Horror| Mystery,1-Nov-13,2013,Nov,Romania,,6.9,101 min,Romanian
Abandoned Dead (2015), Crime| Horror| Thriller,4-Nov-15,2015,Nov,USA,,2.5,77 min,English
Chudail Story (2016), Horror,13-May-16,2016,May,India,,2.9,100 min,Hindi
The Devil's Business (2011), Horror,17-Aug-12,2012,Aug,UK,,5.3,69 min,English
Hermit: Monster Killer (2016), Adventure| Comedy| Horror,15-Oct-16,2016,Oct,Mexico,,6.0,,Swedish
Return of the Dead (2016), Horror,12-Apr-16,2016,Apr,USA,,6.5,,English
Open Wound (2016), Drama| Horror,29-Sep-16,2016,Sep,Serbia,,5.7,72 min,Serbian
Exhume (2017), Horror,25-Aug-17,2017,Aug,UK,,5.8,78 min,English
Los inocentes (2013), Horror,24-Apr-14,2014,Apr,South Korea,NOT RATED,4.6,65 min,Spanish
Decay (2012), Horror,8-Dec-12,2012,Dec,UK,,3.8,76 min,English
Scarred (2013), Horror,5-Sep-13,2013,Sep,USA,NOT RATED,5.1,86 min,English
Atelophobia (2015), Horror,8-Oct-15,2015,Oct,USA,,7.7,,English
Sming (2014), Action| Drama| Horror,21-Aug-14,2014,Aug,USA,,5.6,105 min,English|Thai
Alien Domicile (2017), Horror,30-Mar-17,2017,Mar,USA,,3.9,88 min,English
24 Hours to Die (2016), Drama| Horror| Sci-Fi,12-Jun-16,2016,Jun,Ireland,,4.7,84 min,English
Blood Demon Rising (2017), Horror| Thriller,17-Feb-17,2017,Feb,USA,,4.9,93 min,English
There Are Monsters (2013), Horror,13-Sep-13,2013,Sep,Canada,,5.1,90 min,English
Guilty Pleasures (2017), Action| Fantasy| Horror| Mystery| Romance,20-Oct-17,2017,Oct,USA,,,,English
Buck Wild (2014), Comedy| Horror,18-Mar-14,2014,Mar,USA,NOT RATED,4.7,96 min,English
The Devil's Dozen (2013), Horror| Mystery| Thriller,1-Feb-13,2013,Feb,USA,PG-13,3.5,86 min,English
Carl (2012), Horror| Thriller,29-Apr-12,2012,Apr,USA,NOT RATED,2.8,,English
Ghost Theater (2015), Horror,21-Nov-15,2015,Nov,Japan,,4.9,99 min,Japanese
Dream Nightmare (2016), Fantasy| Horror,30-Dec-16,2016,Dec,USA,NOT RATED,8.0,75 min,English
Dark Beacon (2017), Horror| Thriller,13-Oct-17,2017,Oct,USA,,,,English
The Watchers (2013), Horror| Mystery| Thriller,1-Nov-13,2013,Nov,USA,NOT RATED,4.9,120 min,English
The Boogeyman (2014), Drama| Horror| Thriller,7-Sep-14,2014,Sep,USA,NOT RATED,,45 min,English
Death-Scort Service (2015), Horror,13-Oct-15,2015,Oct,USA,,5.9,79 min,English
Party Night (2017), Horror,28-Apr-17,2017,Apr,USA,,7.7,,English
American Guinea Pig: Sacrifice (2017), Horror,1-Mar-17,2017,Mar,Italy,,7.0,,English
Irrational Fear (2017), Horror,2017,2017,Jan,USA,,,,English
The Pool (2014), Horror,1-May-14,2014,May,Netherlands,,5.5,,Dutch
Sadie Clove (2013), Drama| Horror| Mystery| Thriller,25-Oct-13,2013,Oct,USA,,,90 min,English
P.O.E.: Project of Evil (2012), Horror,21-Nov-12,2012,Nov,Italy,UNRATED,3.0,92 min,English
Slasher House (2012), Horror,29-Apr-13,2013,Apr,UK,TV-MA,3.6,92 min,English
Cin Kuyusu (2015), Horror,6-Nov-15,2015,Nov,Turkey,,5.9,79 min,Turkish
Wake the Dead (2017), Horror,27-Oct-17,2017,Oct,USA,,5.2,82 min,English
Malignant (2013), Horror| Sci-Fi| Thriller,22-May-14,2014,May,USA,NOT RATED,4.4,85 min,English
Hooker with a Hacksaw (2017), Horror,5-Aug-17,2017,Aug,USA,,5.4,,English
Slaughter Daughter (2012), Horror,2012,2012,Jan,USA,NOT RATED,4.4,77 min,English
Hangman's Game (2015), Horror| Mystery| Thriller,16-May-16,2016,May,Colombia,TV-14,3.6,87 min,English
Fright Fest (2017), Horror,2017,2017,Jan,USA,,,,English
Nazi Vengeance (2014), Horror| Thriller,5-May-15,2015,May,USA,R,2.5,97 min,English
Sunburn (2017), Horror| Mystery| Thriller,1-Oct-17,2017,Oct,USA,,,85 min,English|Spanish
Germ (2013), Action| Drama| Horror| Sci-Fi,12-Mar-13,2013,Mar,USA,,3.7,80 min,English
Terrordactyl (2016), Action| Comedy| Horror,16-Jun-16,2016,Jun,USA,NOT RATED,4.3,95 min,English
Sargad (2017), Horror,4-Aug-17,2017,Aug,Sweden,,7.8,,Swedish
Love of my Life (2013), Horror| Thriller,10-Nov-13,2013,Nov,USA,NOT RATED,3.4,96 min,English
Scream: Generations (2012), Horror,6-Jan-12,2012,Jan,USA,NOT RATED,7.1,90 min,English
Reel Nightmare (2017), Fantasy| Horror| Mystery,7-Feb-17,2017,Feb,USA,,3.8,78 min,English
Psychedelia (2016), Fantasy| Horror| Sci-Fi| Thriller,2-Jun-16,2016,Jun,USA,NOT RATED,8.6,73 min,English
Sadako 2 3D (2013), Horror,30-Aug-13,2013,Aug,Japan,NOT RATED,4.7,96 min,Japanese
The Break-In (2016), Horror| Mystery| Thriller,5-Feb-16,2016,Feb,USA,R,4.3,72 min,English
Seance: The Summoning (2011), Horror| Thriller,2-Oct-12,2012,Oct,USA,R,3.5,85 min,English
Severed Road (2017), Horror,13-Oct-17,2017,Oct,USA,,,,English
