Title,Genres,Release Date,Release Year,Release Month,Release Country,Movie Rating,Review Rating,Movie Run Time,Language
Overwatch (2016), Horror,21-Jan-16,2016,Jan,USA,,7.3,,English
Sickness (2017), Action| Drama| Horror| Thriller,17-Jun-17,2017,Jun,USA,UNRATED,5.1,,English
The Drift (2014), Horror| Sci-Fi,6-Dec-14,2014,Dec,UK,,4.8,101 min,English
Km 31-2 (2016), Horror,28-Apr-17,2017,Apr,USA,R,3.9,105 min,Spanish
Army of the Damned (2013), Horror,3-Dec-13,2013,Dec,USA,NOT RATED,3.8,85 min,
Hell Town (2015), Comedy| Horror| Thriller,23-Apr-15,2015,Apr,USA,TV-MA,4.8,89 min,English
Neighbours (2014), Horror,14-Mar-14,2014,Mar,India,,3.7,125 min,Hindi
Pagpag: Siyam na buhay (2013), Horror,25-Dec-13,2013,Dec,Philippines,,5.8,105 min,Filipino|Tagalog
Do You Like My Basement (2012), Comedy| Horror| Thriller,6-Oct-14,2014,Oct,UK,NOT RATED,3.4,87 min,English
Sorceress (2017), Drama| Fantasy| Horror| Music| Romance| Thriller,25-Feb-17,2017,Feb,USA,,4.6,84 min,English
The Warning (2012), Horror,21-Dec-12,2012,Dec,UK,,2.8,78 min,English
The Reverend (2011), Horror,3-Aug-12,2012,Aug,UK,NOT RATED,4.3,98 min,English
Terror Birds (2016), Horror| Sci-Fi,8-Mar-16,2016,Mar,USA,,3.9,87 min,
Cabin of Horror (2015), Horror,31-Oct-15,2015,Oct,USA,,4.9,65 min,English
Bayama Irukku (2017), Comedy| Horror,22-Sep-17,2017,Sep,India,,6.2,122 min,Tamil
The curse of the mayans (2017), Horror| Sci-Fi,2-May-17,2017,May,Japan,,4.5,,Spanish|English
The Invited (2010), Horror| Thriller,17-Mar-15,2015,Mar,USA,NOT RATED,4.3,95 min,English
Purgatory Road (2017), Crime| Horror,27-Oct-17,2017,Oct,USA,,,98 min,English
The Small Woman in Grey (2017), Horror,1-Oct-17,2017,Oct,UK,,9.5,90 min,English
Witchcraft 15: Blood Rose (2016), Horror,1-Jan-17,2017,Jan,USA,,4.0,81 min,English
Oru Murai Vanthu Paarthaya (2016), Comedy| Horror| Romance,27-May-16,2016,May,India,,5.3,151 min,Malayalam
The Taint (2011), Action| Comedy| Horror,12-Mar-13,2013,Mar,USA,,5.3,75 min,English
Prairie Dog (2015), Adventure| Drama| Fantasy| Horror| Thriller,1-Feb-16,2016,Feb,USA,,7.4,94 min,English
Werewolf Rising (2014), Horror,14-Oct-14,2014,Oct,USA,UNRATED,2.3,78 min,English
Getting Schooled (2017), Comedy| Horror,7-Feb-17,2017,Feb,USA,,3.0,83 min,English
The Cursed Man (2016), Horror| Thriller,31-Oct-16,2016,Oct,USA,,7.9,90 min,English
Evil in Her (2017), Horror,10-Mar-17,2017,Mar,USA,,3.5,104 min,English
Escaping the Dead (2017), Horror,17-Aug-17,2017,Aug,USA,NOT RATED,7.3,,Danish
Lord of Darkness (2012), Horror| Thriller,23-Feb-13,2013,Feb,USA,R,4.5,90 min,English
Bloody Homecoming (2013), Horror,1-Nov-14,2014,Nov,Poland,UNRATED,3.6,82 min,English
Bacchanalia (2017), Comedy| Horror,10-Oct-17,2017,Oct,USA,TV-MA,5.8,101 min,English
Applecart (2015), Crime| Drama| Horror,10-Mar-15,2015,Mar,USA,,6.4,,English
Welcome to the Circle (2017), Horror,2017,2017,Jan,USA,,,,English
Ao oni (2014), Horror,5-Jul-14,2014,Jul,Japan,,4.3,,Japanese
Hitchhiker Massacre (2017), Horror,3-Apr-17,2017,Apr,USA,,7.4,,English
Kotoko (2011), Drama| Horror,2-Mar-12,2012,Mar,USA,,6.7,91 min,Japanese
Michael Myers: Absolute Evil (2016), Horror,31-Mar-16,2016,Mar,USA,,8.3,93 min,English
The Nest of the Cuckoo Birds (1965), Drama| Horror,16-Oct-17,2017,Oct,France,,5.3,81 min,English
Silent But Deadly (2011), Comedy| Horror,24-Sep-13,2013,Sep,USA,NOT RATED,3.6,80 min,English
Bloodlands (2017), Drama| Horror| Thriller,25-Feb-17,2017,Feb,UK,,6.4,82 min,Albanian|Albanian
Quad X: The Porn Movie Massacre (2015), Action| Comedy| Horror,16-May-15,2015,May,USA,,5.7,89 min,English
Take 2: The Audition (2015), Horror,1-Feb-15,2015,Feb,USA,,9.3,,English
First Man on Mars (2016), Comedy| Horror| Sci-Fi,27-Sep-16,2016,Sep,USA,,6.1,77 min,English
Blood Is Blood (2016), Horror| Thriller,1-Aug-16,2016,Aug,USA,,5.4,80 min,English
Blood Kisses (2012), Drama| Horror| Mystery| Romance| Thriller,15-Nov-12,2012,Nov,USA,,4.2,72 min,English
The Hounds (2011), Crime| Horror| Thriller,20-Jan-13,2013,Jan,USA,TV-MA,3.4,87 min,English|Italian
Mortal Remains (2013), Horror| Mystery| Thriller,13-Oct-13,2013,Oct,USA,,8.3,95 min,English
Ascension (2016), Horror| Sci-Fi| Thriller,10-Jul-16,2016,Jul,USA,,,,English
Saturday Morning Mystery (2012), Comedy| Horror,16-Jun-12,2012,Jun,USA,R,4.4,83 min,English
Buzzard Hollow Beef (2017), Horror,24-Sep-17,2017,Sep,USA,,,75 min,English
Sanatorium (2013), Horror| Thriller,18-Oct-13,2013,Oct,USA,R,5.0,90 min,English
Tarot (2015), Drama| Horror| Mystery| Romance| Thriller,7-May-15,2015,May,Indonesia,,7.5,119 min,Indonesian
The Night Watchman (2016), Drama| Horror| Thriller,29-Jul-16,2016,Jul,Spain,,4.2,94 min,English
Gorenos (2016), Horror,2016,2016,Jan,USA,,6.1,81 min,English
Exit 14 (2016), Horror,5-Apr-17,2017,Apr,USA,NOT RATED,3.8,,English
A Night in the Woods (2011), Horror| Mystery,7-Sep-12,2012,Sep,UK,TV-MA,3.7,82 min,English
Orgy of the Damned (2010), Fantasy| Horror| Thriller,25-May-16,2016,May,USA,NOT RATED,5.7,92 min,English
Pig Girl (2014), Horror,11-Mar-14,2014,Mar,USA,,6.8,,English
Egomaniac (2016), Comedy| Horror,28-Aug-16,2016,Aug,UK,,5.4,72 min,
Dreaming Purple Neon (2016), Horror,31-Oct-16,2016,Oct,USA,,7.7,,English
X Moor (2014), Horror,10-Oct-14,2014,Oct,USA,NOT RATED,3.9,76 min,English
Ghost Shark 2: Urban Jaws (2015), Drama| Horror| Sci-Fi| Thriller,1-Jul-15,2015,Jul,USA,,4.1,70 min,English
Chip & Bernie's Zomance (2015), Adventure| Comedy| Horror,17-Oct-15,2015,Oct,USA,,5.0,70 min,English
Rockabilly Zombie Weekend (2013), Horror,17-Feb-13,2013,Feb,USA,,3.7,88 min,English
Eden Lodge (2015), Horror| Mystery| Thriller,24-Aug-15,2015,Aug,UK,,3.5,80 min,English
Bunker of the Dead (2015), Action| Comedy| Horror,18-Feb-16,2016,Feb,Russia,TV-MA,3.8,76 min,English
The Final Project (2016), Horror| Thriller,4-Mar-16,2016,Mar,USA,,2.7,82 min,English
Housewife Alien vs. Gay Zombie (2017), Comedy| Horror,9-Oct-17,2017,Oct,Sweden,,,,English
Bangunan (2015), Horror,5-Feb-15,2015,Feb,Malaysia,,6.5,,Malay
Johann Karlo's Gun Driver (2016), Action| Adventure| Fantasy| Horror| Sci-Fi| Western,1-Sep-16,2016,Sep,USA,,9.3,52 min,English
Lapachhapi (2017), Drama| Horror| Mystery| Thriller,14-Jul-17,2017,Jul,India,,8.3,120 min,Marathi
The Taking (2013), Horror| Thriller,13-Apr-13,2013,Apr,Australia,,2.0,77 min,English
Morituris (2011), Horror,8-Sep-15,2015,Sep,USA,NOT RATED,4.0,,Italian|Romanian
Dark Amazon (2014), Adventure| Horror| Thriller,2014,2014,Jan,USA,TV-MA,4.3,81 min,English
Darkside Witches (2015), Horror,7-Apr-15,2015,Apr,USA,TV-MA,4.7,89 min,Italian|English
Ilawod (2017), Horror,18-Jan-17,2017,Jan,Philippines,,7.2,95 min,Filipino|Tagalog
Cat Sick Blues (2015), Horror,21-Sep-16,2016,Sep,Australia,,5.6,101 min,English
Asylum (2014), Horror,2-Jun-15,2015,Jun,USA,R,2.6,93 min,English
Canaries (2017), Comedy| Horror| Sci-Fi,26-Aug-17,2017,Aug,UK,,7.9,84 min,English
Local God (2014), Horror,14-May-15,2015,May,Uruguay,,5.9,90 min,Spanish
Exchange (2015), Crime| Horror| Thriller,10-Sep-15,2015,Sep,South Korea,,5.8,96 min,Korean|English
Make Me Shudder (2013), Comedy| Horror,3-Oct-13,2013,Oct,Thailand,NOT RATED,5.2,105 min,Thai
Geethanjali (2014), Comedy| Horror,8-Aug-14,2014,Aug,India,,6.5,135 min,Telugu
Countdown (2012), Horror| Thriller,25-Mar-14,2014,Mar,USA,NOT RATED,6.5,90 min,Thai|English
Spirit in the Woods (2014), Horror| Mystery,15-Mar-14,2014,Mar,USA,NOT RATED,5.3,79 min,English
Alarmed (2014), Horror| Thriller,2014,2014,Jan,USA,,3.4,90 min,English
Masks (2011), Horror| Mystery| Thriller,13-Sep-16,2016,Sep,USA,,5.8,112 min,German
She Who Must Burn (2015), Drama| Horror| Thriller,26-Jul-15,2015,Jul,Canada,,4.9,90 min,English
Sickle (2015), Horror,28-Mar-15,2015,Mar,USA,,5.8,89 min,English
No dormirás (2017), Horror| Thriller,2017,2017,Jan,Spain,,,,Spanish
Chicago Rot (2016), Drama| Horror| Sci-Fi| Thriller,4-Apr-17,2017,Apr,USA,,6.9,100 min,English
The Debutantes (2017), Horror,4-Oct-17,2017,Oct,Philippines,,5.0,90 min,Filipino|Tagalog
Jackson Durai (2016), Comedy| Horror,1-Jul-16,2016,Jul,India,,4.7,134 min,Tamil|English
Stomping Ground (2014), Comedy| Horror,24-Dec-15,2015,Dec,Kuwait,NOT RATED,5.1,80 min,English
Alpha Girls (2013), Action| Horror| Sci-Fi,1-Sep-13,2013,Sep,USA,R,3.4,90 min,English
Snake Club: Revenge of the Snake Woman (2013), Action| Fantasy| Horror| Sci-Fi,31-May-13,2013,May,Germany,,3.1,,English
Transhuman (2017), Horror,11-Jul-17,2017,Jul,USA,,4.4,88 min,English
Shock (2016), Horror,31-Oct-16,2016,Oct,USA,,3.4,69 min,English
Accidental Exorcist (2016), Horror,24-Jun-16,2016,Jun,USA,TV-MA,4.1,,English
Adi Kapyare Kootamani (2015), Comedy| Horror,25-Dec-15,2015,Dec,India,,6.2,131 min,Malayalam
The Black Water Vampire (2014), Horror| Mystery| Thriller,21-Jan-14,2014,Jan,USA,UNRATED,4.2,82 min,English
Blood-C: The Last Dark (2012), Animation| Action| Adventure| Fantasy| Horror| Mystery,2-Jun-12,2012,Jun,Japan,TV-MA,6.1,107 min,Japanese
The Lurking Man (2017), Drama| Horror| Mystery| Thriller,18-Apr-17,2017,Apr,USA,,8.4,90 min,English
Keeper of Darkness (2015), Horror| Thriller,26-Nov-15,2015,Nov,Hong Kong,,5.9,105 min,Mandarin|Cantonese
Truth (2014), Horror| Sci-Fi| Thriller,2014,2014,Jan,USA,NOT RATED,4.5,96 min,English
Skull Forest (2012), Action| Adventure| Horror| Thriller,9-Jun-12,2012,Jun,USA,,2.9,74 min,English
Voices from the Grave (2014), Horror,31-Aug-14,2014,Aug,USA,,4.1,87 min,English
Souleater (2017), Horror,17-Jan-17,2017,Jan,USA,,6.1,,English
Fantasma (2017), Horror| Thriller,1-May-17,2017,May,USA,,7.6,,English
Hell's Caretaker (2013), Horror| Thriller,28-Jul-13,2013,Jul,USA,,4.2,75 min,English
Locked (2013), Horror| Thriller,1-Feb-13,2013,Feb,USA,,8.8,95 min,English
Amityville Creation (2017), Horror,2017,2017,Jan,USA,,,,English
Dead Woman's Hollow (2013), Crime| Drama| Horror| Romance| Thriller,24-Sep-13,2013,Sep,USA,,5.3,106 min,English
Horrorween (2011), Comedy| Horror,26-Oct-12,2012,Oct,USA,,5.6,,English
Theatre of Fear (2014), Horror,25-Mar-15,2015,Mar,USA,NOT RATED,3.9,90 min,English
Grave Secrets (2013), Drama| Family| Horror,6-Oct-13,2013,Oct,USA,,7.9,75 min,English
Conjoined (2013), Horror,27-Sep-13,2013,Sep,USA,NOT RATED,6.4,77 min,English
The Laughing Mask (2014), Crime| Horror| Thriller,31-Oct-14,2014,Oct,USA,,6.9,101 min,English
Afterparty (2013), Horror,13-Sep-13,2013,Sep,Spain,,3.8,78 min,Spanish
Kubot: The Aswang Chronicles 2 (2014), Action| Comedy| Horror,22-Apr-15,2015,Apr,Cambodia,,7.4,105 min,Filipino|Tagalog
Crone Wood (2016), Horror| Thriller,30-Oct-16,2016,Oct,Ireland,,7.5,86 min,English
Survival Instinct (2016), Action| Horror| Thriller,13-Jun-16,2016,Jun,UK,,3.2,75 min,English
Aadupuliyattam (2016), Horror,20-May-16,2016,May,India,,4.2,145 min,Malayalam|Malayalam|Hindi|Tamil|Telugu
Big Bad Bugs (2012), Action| Adventure| Comedy| Horror| Sci-Fi| Thriller,29-Dec-12,2012,Dec,Russia,,2.2,95 min,English
White Raven (2015), Adventure| Drama| Horror| Thriller,23-May-17,2017,May,Canada,NOT RATED,5.3,94 min,English
Videoclub (2013), Action| Horror| Romance,30-Jan-14,2014,Jan,Chile,,4.9,,Spanish
Sebastian (2011), Action| Horror| Mystery,14-Apr-12,2012,Apr,USA,,4.9,108 min,English
Safe Inside (2017), Horror,21-Jun-17,2017,Jun,USA,,5.0,91 min,English
Predatory Moon (2017), Horror,1-Oct-17,2017,Oct,USA,,,90 min,English
Amnesiac (2013), Drama| Horror| Thriller,1-Mar-13,2013,Mar,UK,TV-MA,3.0,90 min,English
The Biker Warrior Babe vs. The Zombie Babies from Hell (2014), Horror,1-Nov-14,2014,Nov,USA,TV-MA,3.6,79 min,English
Münafik (2015), Drama| Horror| Thriller,3-Apr-15,2015,Apr,Turkey,,4.8,,Turkish
Bloody Snow (2016), Horror,25-Aug-16,2016,Aug,USA,,3.2,61 min,English
Awaiting (2015), Drama| Horror| Thriller,1-Mar-15,2015,Mar,Portugal,,4.7,95 min,English
Tin Can Man (2007), Horror,1-Mar-12,2012,Mar,Ireland,NOT RATED,6.5,,English
Die Die Delta Pi (2013), Horror,21-Jun-13,2013,Jun,USA,UNRATED,4.2,78 min,English
Return to Blood Fart Lake (2012), Horror,21-Feb-12,2012,Feb,USA,NOT RATED,4.5,72 min,English
Art School of Horrors (2015), Comedy| Horror,29-Oct-15,2015,Oct,USA,,6.8,,English
Caesar and Otto's Deadly Xmas (2012), Comedy| Horror,30-Jun-12,2012,Jun,USA,NOT RATED,4.1,83 min,English
Gravedigger (2013), Horror| Thriller,2013,2013,Jan,USA,,5.6,75 min,English
Alice: Boy from Wonderland (2015), Fantasy| Horror| Mystery| Romance,18-Jul-15,2015,Jul,South Korea,,6.6,122 min,Korean
Grim Reapers (2014), Horror| Mystery| Thriller,27-Sep-14,2014,Sep,USA,NOT RATED,3.7,82 min,English
A New Beginning (2017), Drama| Horror| Thriller,2017,2017,Jan,USA,,,,English
Dead End 2 (2016), Horror,31-Oct-16,2016,Oct,USA,UNRATED,5.7,,English
"Buy Now, Die Later (2015)", Horror,25-Dec-15,2015,Dec,Philippines,,5.3,118 min,Filipino|Tagalog
Sexual Labyrinth (2017), Horror,26-Apr-17,2017,Apr,Italy,,,68 min,Italian
Croczilla (2012), Action| Comedy| Horror| Drama| Thriller,8-Jun-12,2012,Jun,China,PG-13,4.2,90 min,Cantonese
Athena (2015), Drama| Horror| Thriller,2015,2015,Jan,USA,,6.5,98 min,English
SOS: Save Our Skins (2014), Comedy| Horror,4-Apr-14,2014,Apr,USA,,5.4,98 min,English
RiffTrax Live: Birdemic - Shock and Terror (2012), Comedy| Horror,25-Oct-12,2012,Oct,USA,,7.3,110 min,English
Prema Katha Chitram (2013), Drama| Horror,7-Jun-13,2013,Jun,USA,,7.2,130 min,Telugu
"Strasek, der Vampir (1982)", Horror,1-Jul-14,2014,Jul,Switzerland,,3.2,70 min,German
Goose Bumps: The Movie (2012), Horror,13-Sep-12,2012,Sep,Japan,,6.1,87 min,Japanese
The Living Dead (2017), Action| Horror| Thriller,22-Mar-17,2017,Mar,Russia,,1.7,46 min,Russian
Pitfire of Hell (2016), Comedy| Horror,30-Apr-16,2016,Apr,USA,,7.1,,
Demon Legacy (2014), Horror,19-May-14,2014,May,UK,TV-MA,3.4,93 min,English
Ghostfinders (2015), Horror,5-May-15,2015,May,USA,,3.4,90 min,English
Hole in the Wall (2014), Horror,26-Sep-14,2014,Sep,USA,NOT RATED,4.3,79 min,English
Bugs (2014), Comedy| Horror,10-Oct-14,2014,Oct,China,,3.1,82 min,Mandarin|English
Rape Zombie: Lust of the Dead 2 (2013), Horror,11-Feb-14,2014,Feb,USA,NOT RATED,4.1,67 min,Japanese
Crazy Murder (2014), Horror,29-Oct-14,2014,Oct,USA,TV-MA,5.1,93 min,English
The Returned (2017),,2017,2017,Jan,USA,,,,
Astro Zombies: M4 - Invaders from Cyberspace (2012), Comedy| Horror| Sci-Fi,2012,2012,Jan,USA,,4.7,90 min,English
Aurora (2016), Horror,2016,2016,Jan,Brazil,,,,Portuguese
Sonyeogoedam (2014), Comedy| Horror| Romance| Thriller,2-Jul-14,2014,Jul,South Korea,,6.1,90 min,Korean
Der Blunzenkönig (2015), Comedy| Horror,27-Aug-15,2015,Aug,Austria,,5.6,90 min,German
The Attachment (2016), Drama| Horror,3-Jun-16,2016,Jun,USA,,3.2,108 min,English
Tunnel (2014), Horror,20-Aug-14,2014,Aug,South Korea,,5.2,86 min,Korean
Seklusyon (2016), Horror,25-Dec-16,2016,Dec,Philippines,,6.8,90 min,Filipino|Tagalog
Hollow (2014), Drama| Horror| Mystery| Thriller,18-Jul-14,2014,Jul,Vietnam,,5.8,99 min,Vietnamese
The Demon's Rook (2013), Adventure| Fantasy| Horror,13-Oct-13,2013,Oct,USA,TV-MA,5.5,103 min,English
Tai Hong 2 (2014), Horror,27-Feb-14,2014,Feb,Taiwan,,4.9,109 min,Thai
The Binman (2015), Horror| Thriller,1-Jan-15,2015,Jan,UK,,7.4,,English
I wish I wish (2016), Horror,14-Oct-17,2017,Oct,USA,,8.4,,Spanish
I Didn't Come Here to Die (2010), Comedy| Horror,7-Jan-12,2012,Jan,USA,NOT RATED,5.4,80 min,English
Ghost Rituals (2014), Horror,10-Jul-14,2014,Jul,Hong Kong,,5.3,,Mandarin|Cantonese
The Witch hour: Curse of the ring (2017), Horror,31-May-17,2017,May,India,,,,Hindi
Chaar (2014), Drama| Horror| Mystery,13-Jun-14,2014,Jun,India,,6.9,81 min,Bengali
Lilith's Awakening (2016), Fantasy| Horror| Thriller,11-Jun-16,2016,Jun,USA,,6.5,80 min,English
When Your Flesh Screams (2015), Horror| Thriller,11-Oct-15,2015,Oct,Argentina,,3.9,,Spanish
Bloody Bobby (2016), Comedy| Horror| Mystery,6-Oct-16,2016,Oct,USA,,9.0,,English
Hollow's Ridge (2017), Horror| Sci-Fi,2017,2017,Jan,USA,,,,English
Blood on Méliès' Moon (2016), Horror,2016,2016,Jan,Italy,,5.5,125 min,
House of Many Sorrows (2016), Horror| Thriller,2016,2016,Jan,USA,NOT RATED,,82 min,English
Memory of the Dead (2011), Comedy| Horror,28-Mar-13,2013,Mar,Argentina,R,5.0,89 min,Spanish
Beast: A Monster Among Men (2013), Drama| Horror| Thriller,1-Oct-13,2013,Oct,USA,TV-MA,4.6,72 min,English
Maya (2015), Horror,12-Jun-15,2015,Jun,Pakistan,,6.8,82 min,Urdu
Disciples (2014), Horror,12-Sep-14,2014,Sep,USA,R,2.1,90 min,English
Toxin (2014), Action| Horror,15-Apr-14,2014,Apr,USA,NOT RATED,2.4,73 min,English
Illusions (2015), Horror| Thriller,2016,2016,Jan,USA,NOT RATED,4.6,94 min,English
Avunu (2012), Horror| Thriller,21-Sep-12,2012,Sep,India,,6.8,115 min,Telugu
6:15 (2015), Action| Horror| Thriller,1-Apr-15,2015,Apr,USA,,6.5,83 min,English
Hantu dalam botol kicap (2012), Comedy| Horror,9-Feb-12,2012,Feb,Malaysia,,2.8,78 min,Malay
The Beast (2016), Horror| Mystery| Thriller,2016,2016,Jan,USA,,5.2,78 min,English|English
Zomvideo (2011), Comedy| Horror,29-Dec-12,2012,Dec,Japan,,5.1,,Japanese
Exscind (2016), Horror,2016,2016,Jan,USA,,3.2,80 min,English
Seytan-i racim (2013), Horror| Thriller,13-Sep-13,2013,Sep,Turkey,,3.8,97 min,Turkish
Phobia (2013), Horror| Thriller,1-Sep-13,2013,Sep,USA,NOT RATED,3.3,91 min,French|English
Chopping Block (2016), Comedy| Horror,30-Aug-16,2016,Aug,USA,,5.0,82 min,English
Frost Bite (2012), Action| Horror,17-Feb-12,2012,Feb,USA,,3.3,93 min,English
Hüddam (2015), Horror| Mystery,20-Nov-15,2015,Nov,Turkey,,5.5,,Turkish
Wonder Valley (2015), Horror,31-Oct-13,2013,Oct,USA,,4.7,71 min,English
Binhi (2015), Horror,20-May-15,2015,May,Philippines,,4.2,,Filipino|Tagalog
The Brain Hunter (2013), Horror,15-Nov-15,2015,Nov,USA,NOT RATED,7.3,85 min,English
Evil Souls (2015), Horror,1-Oct-15,2015,Oct,UK,,2.7,92 min,English
Night Kaleidoscope (2017), Horror,4-Feb-17,2017,Feb,USA,,4.5,83 min,English
Dracula A.D. 2015 (2015), Horror,13-Jun-15,2015,Jun,USA,,8.4,59 min,English
Doc. 33 (2012), Horror| Mystery| Thriller,1-Jan-12,2012,Jan,Italy,R,6.6,63 min,Italian|German
Abed (2012), Horror,18-Oct-12,2012,Oct,USA,,6.5,50 min,English
Basement (2014), Drama| Horror,12-Feb-14,2014,Feb,Philippines,,5.1,90 min,Filipino|Tagalog
The Scarapist (2015), Crime| Horror| Thriller,9-Aug-16,2016,Aug,USA,,8.3,81 min,English
The Other One (2014), Drama| Horror| Mystery| Thriller,4-Apr-14,2014,Apr,USA,NOT RATED,6.5,94 min,English
Bill Huckstabelle: Serial Rapist (2015), Horror,7-Nov-15,2015,Nov,USA,,5.9,,English
The Blackout (2009), Horror| Sci-Fi| Thriller,30-Sep-12,2012,Sep,Spain,,3.4,80 min,English
Asian Ghost Story (2016), Action| Horror,31-Oct-16,2016,Oct,USA,NOT RATED,3.1,75 min,English
Crack Whore (2012), Comedy| Horror,1-Jan-15,2015,Jan,USA,,6.8,69 min,English
Christmas Cruelty! (2013), Horror,13-Dec-13,2013,Dec,Norway,,6.3,96 min,Norwegian
Impuratus (2017), Horror,10-Jul-17,2017,Jul,India,,,,English
Doctor (2012), Crime| Horror| Mystery| Thriller,20-Jun-13,2013,Jun,South Korea,,5.0,97 min,Korean
Theatre of the Deranged II (2013), Comedy| Horror| Thriller,2013,2013,Jan,USA,,5.4,91 min,English
The Cleaning Lady (2017), Horror| Thriller,2017,2017,Jan,USA,,,,English
Serial Kaller (2014), Horror,1-Oct-14,2014,Oct,UK,NOT RATED,4.4,95 min,English
Truth or Double Dare (TODD) (2017), Horror,30-Oct-17,2017,Oct,USA,,,,English
Double Booked (2014), Drama| Horror| Thriller,22-Oct-15,2015,Oct,Canada,,6.3,102 min,English
Tuyul: Part 1 (2015), Horror,9-Apr-15,2015,Apr,Indonesia,,6.3,95 min,Indonesian
The Spawning (2017), Horror| Sci-Fi,1-Jul-17,2017,Jul,UK,,,,English
American Exorcist, Horror,2017,2017,Jan,USA,,,,English
Savage Love (2012), Adventure| Horror| Mystery,18-May-12,2012,May,Germany,,3.2,88 min,German
Creepy Campfire Stories (2015), Horror,19-Oct-15,2015,Oct,Germany,,4.7,76 min,German
The Haunting of Baylock Residence (2014), Horror| Thriller,25-Feb-14,2014,Feb,UK,,4.9,70 min,English
Mummy Save Me (2016), Horror,2-Dec-16,2016,Dec,India,,7.1,131 min,Kannada
Eyang Kubur (2013), Comedy| Horror,28-Nov-13,2013,Nov,Indonesia,,5.8,80 min,Japanese|Indonesian
Pretham Undu Sookshikkuka (2017), Comedy| Horror,30-Jun-17,2017,Jun,India,,6.8,141 min,Malayalam
Zombie Ninjas vs Black Ops (2015), Action| Adventure| Horror,1-Oct-15,2015,Oct,USA,R,3.4,94 min,English
Meathook Massacre 3: First Hunt (2017), Horror,1-Oct-17,2017,Oct,USA,,,63 min,English
Evil Exhumed (2016), Horror,1-Jun-16,2016,Jun,USA,NOT RATED,2.8,76 min,English
The Killing Games (2012), Drama| Horror| Thriller,22-Apr-14,2014,Apr,Canada,,4.4,101 min,English
The Red Man (2016), Horror| Mystery,25-Oct-16,2016,Oct,USA,,6.1,98 min,English
Seekers (2016), Horror,18-Mar-16,2016,Mar,Germany,,3.1,90 min,German
Slash (2013), Crime| Drama| Horror| Thriller,9-Sep-13,2013,Sep,USA,NOT RATED,7.4,79 min,English
Nocturnal Activity (2014), Horror| Sci-Fi,25-Aug-15,2015,Aug,USA,,1.9,80 min,English
R: Rage of the Zombies (2017), Horror,1-Jul-17,2017,Jul,New Zealand,,,,English
The Girl in the Cornfield (2016), Horror| Mystery,13-May-16,2016,May,USA,,4.3,81 min,English
Poignant (2016), Horror| Thriller,2016,2016,Jan,France,,3.8,,English
Chung Cu Ma (2014), Comedy| Horror,24-Dec-14,2014,Dec,Vietnam,,5.4,115 min,Vietnamese
American Slasher (2014), Crime| Drama| Horror| Mystery| Thriller,1-Feb-14,2014,Feb,USA,,4.9,70 min,English
Brutal Colors (2015), Drama| Horror| Thriller,23-Jun-15,2015,Jun,USA,,3.4,74 min,English
Alone in the Ghost House (2015), Horror,5-Jun-15,2015,Jun,USA,TV-MA,5.1,82 min,English
Sunshine Girl and the Hunt for Black Eyed Kids (2012), Adventure| Horror| Thriller,20-Dec-12,2012,Dec,USA,,5.2,87 min,English
Fall of Grace (2017), Horror,3-Oct-17,2017,Oct,USA,,8.2,,English
Make Them Die Quickly (2016), Horror,31-Jan-16,2016,Jan,USA,,,,English
The Orange Man (2015), Comedy| Horror,2015,2015,Jan,USA,,3.5,95 min,English
Keep Running. Zombie Soldier! (2015), Comedy| Horror,22-Jan-15,2015,Jan,Thailand,,4.6,,Thai
An American Exorcism (2017), Horror,1-Aug-17,2017,Aug,UK,,,,English
Club Dead (2015), Horror,1-Nov-15,2015,Nov,USA,,3.4,,English
Rumah kentang (2012), Horror,4-Oct-12,2012,Oct,Indonesia,,6.1,102 min,Indonesian
The Stray (2016), Horror| Thriller,5-Mar-16,2016,Mar,USA,,6.9,90 min,English
Almost Dead (2016), Drama| Horror| Thriller,2016,2016,Jan,Italy,,4.6,,English
3 Days Till Darkness (2017), Horror,27-Oct-17,2017,Oct,USA,,,,English
O Sthree Repu Raa (2016), Horror,11-Mar-16,2016,Mar,India,,4.6,120 min,Telugu
Dogman 2: The Wrath of the Litter (2014), Drama| Horror| Thriller,31-Oct-14,2014,Oct,USA,,5.0,87 min,English
Hobo with a Trash Can (2015), Action| Comedy| Horror| Sci-Fi,14-Jun-15,2015,Jun,USA,,5.7,89 min,English
Ar Ma (2016), Comedy| Horror,25-Aug-16,2016,Aug,Thailand,,3.5,,Thai
Last Weekend (2017), Horror,10-Jul-17,2017,Jul,UK,,,,English
Hybris (2015), Horror| Mystery| Thriller,28-May-15,2015,May,Italy,,5.3,83 min,Italian
Haunted Campus (2016), Horror| Thriller,2-Jul-16,2016,Jul,Japan,,5.9,93 min,Japanese
Hello Naan Pei Pesuren (2016), Comedy| Horror,1-Apr-16,2016,Apr,India,,4.0,110 min,Tamil
Community Service the Movie (2012), Horror,21-Jul-12,2012,Jul,USA,,6.0,69 min,English
Phobia (2013), Horror| Mystery| Thriller,25-Nov-14,2014,Nov,USA,,3.5,84 min,English
Mold! (2012), Horror| Sci-Fi,21-May-13,2013,May,USA,,5.0,,English
Ovulation (2013), Drama| Horror| Thriller,28-Sep-13,2013,Sep,USA,NOT RATED,7.5,45 min,English
